Sentence,Neutral (N) / Hostile (H)
Homosexuals fahashi phela rhy hn,H
Government ki naaqis planning ki wajah se selaab aa gya,H
maryam ka papa chor hai,H
maryam ka papa papa nai papi hai,H
Nawaz Sharif corrupt tha,H
Nawaz Sharif k khandan ne Mughlia khandan ki tarah hakumat ki,H
Nawaz Sharif ki family ne din raat mulk ko loota,H
pichli governments ne idaary tabah kr diay,H
idaary badnaam krny ki sazishen ki gayen,H
corrupt politicians ka waqt khatam,H
Canada waly dally ne mulk ka bohut nuqsan kia,H
Baba Guru Nanak ki 550 wih birthday puri dunya mein manai jaye gi,N
Guru Nanak ne caste system ko khatam krny per zor dia,N
Yar dil kr raha hai sb police stations ko bomb sy uraa dy banda,H
Laanat hai aisy qanoon per jo logon ko tahafuz na dy,H
Police walo tuaddi pein di sirri ,H
Main bhi sath hun in zalimon ko khatam krny mein,H
"Allah azab bhejy in per, mar jayen dafa ho jayen",H
zalimo! ghareeb insan per badmashi krty ho,H
Aisy police walon ki wajah se pura Pakistan badnam hota hy,H
Sindh Police waly hein hi gashti k bachy,H
Pakistan tabah ho gya hai in politicians or corrupt logon ki wajah sy,H
Police waly pagal ho gaye hein,H
Police waly jahil aur badtamiz hoty hein,H
Allah aisy jahil logon ko kabi na bakhshy,H
Bhookon ko khana khilao,N
Choron ko pakro harami police walo,H
"Police waly lantiyon ka aakhri waqt aa gya hai, inki mout qareeb hai",H
"10 foji shaheed ho gaye tweet nai aaya madam ka, baap k pait mein gas b ho jaye to qomi masla bna deti hai",H
K-Electric waly awam ko chutiya bana rhy hein,H
jo tum ne aur tumhari corrupt mafia ne paisa loota hai wo wapis kr do aur tumhary abbu azad ho jayen gy,H
hum un bloody culprits k chehry b dekhna pasand nahi krty,H
Tahir Shah ki awaz phatty huay horn jesi hai ,H
agr Molana senate mein government ka sath dein to youthiye kal se unhen daada abbu kehna start ho jayen gy,H
mery sary dost kanjer hein,H
"zameen mili banjar, dost mily kanjer",H
"jb tk looteron ka hisab nai hoga, mulk aagy nai bharhy ga",H
zoo ja kr janwar dekhny ki kya zrurat jb main apny behan bhaiyon ko free mein dekh skti hun,H
ye hai wo kutta jis ne hamary leader per hamla kia,H
mery khayal se police mein jo b ghalt hai usy saza deni chahiye,N
aaj kal police waly badmash bany huay hein,H
mery sath bhi bohut badtameezi ki eik police waly ne,H
sab log mil kr maaren in jahil logon ko,H
Patwari hein hi jhooty khooti k bachy,H
Molvion ne ghalt mazhab sikha ker bachon se qalam cheen ker dandy pakra diay hein,H
in 2 haramzadon ki wajah se pakistan 3 decades peechy reh gaya hai,H
tum ne mjy abi tk khana kyun nai diya kutia,H
Russians ne jasoos ko panah de di hai,N
tumhari bakwas sun ker mera ser dard krny lg gaya hai,H
Jahalat bhi sochti hogi k itni jahil to mein bhi nai jtni yeh aurat hai,H
kuch dost saanp ki tarah hoty hein,H
dustbin mein koora phenko kutto,H
Hasad rooh k liay nuqsan deh hai,N
pta nahi selected yahoodi pakistan ki jaan kb chory ga,H
"ye aurat jahil hai, apne baap aur uske supporters ki tarah",H
Kashmiriyon k haq k liay koi nai bhonk raha,H
Falasteen mein yahoodi zulm dhaa rahy hein,H
Allah tamam shaheedon ki maghfirat farmaye,N
un haramiyon ko pyar ki zuban kabi samajh nahi aye gi,H
ghar mein mojood khawateen aur bachy hamly ka nishana bn gaye,H
Indian Army ne masoom musalmanon per hamla kiya,H
India ko kabi in masoom logon k marny ka andaza nahi hoga,H
aam shehriyon ko nishana bnana unke buzdil hone ka saboot hai,H
Ya khuda is dharti per apna reham farma,N
"yeh siyasi tarzan bn'ny ki koshish kr rahy hein, maary jayen gy",H
Molana Fazal ur Rehman apni siyasi qabar khod rahy hein,H
sabiq hukmaranon ne mulk to bedardi se loota,H
K-Electric ne rehmat ko zehmat bana diya,H
mehengai ne youtiyon ki bhi cheekhen nikal di hein,H
Pakistan ka president hamesha janwaron ki dunya se select kiya jata hai,H
sb corrupt judges to farigh kr diya jaye,H
jb adliya hi corrupt hogi to aam aadmi to insaf kahan se mily ga,H
judges ka b ehtesab hona chahiye,H
in kutty k bachon ko paisy le kr faisly sunany per phansi milni chahiye,H
laanat hai hamari forces per,H
"Police ka department hi khatam kr dena chahiye, kia faida aisi police ka jo awam ka jeena hi haraam kr dy",H
Laanat b kam hai in police walon per,H
yeh police waly kaafir hein,H
Barish k baad jo 2-3 roads theek bach gai hein us mein log janwar bandhney ke liye tent gaarh dein ge,H
Retweet kren agar aap sochty hein k Zardari ki olaad mulk ki bewakoof tareen nasal hai,H
Hungarians k mutabik immigrants aany se dehshat gardi ka khatra barh jata hai,N
guzishta governments ki 10 saal ki loot maar ne mulk ka khazana khali kr dia,H
Kath putli hakumat k khilaf awami ehtijaj hai,H
Pakistan mein galiyon ki siyasat shuru ho chuki,H
Police abi tk sex trafficking roknay mein kamyab nahi hui,H
Illegal massage business k peechy sex trafficking hai,N
"Hamen tamam Falasteeniyon ko halaak kr dena chahiye, ya wo ghulam bn kr rehna qabool kr lein",H
"Kyun k ab Trump president bn chuka hai, ab main taman kaalon ko goli maar skta hun",H
Yahoodi chor aur hamary dushman hein,H
Susti aur kamchori kaalon k khoon mein shamil hai,H
hakumat horse-trading se baaz rahy,H
Nafrat se bhari dunya mein pyar ka intekhab kro,N
Mazhabi shanakht per hamla ho raha hai to kiya ehtijaj na karen?,H
"Najaiz, jaali aur kath putli hakumat k khilaf awam saraapa ehtijaj hein",H
khuda ka wasta hai logon ko musalman rehney dein,H
ye jahilon wali bat hai,H
"aisa lag raha hai k mulk mein dictatorship hai, ikhlaqi iqdaar ka janaza nikal gaya hai",H
PM sahab apni performance per commission banayen,H
sb taajir ehtijaj kr rahy hein,H
kia aap taajiron ko kahen gy k economy ka card siyasat k liay istemaal ho raha hai,H
"awam per ooper azab hai, neechay selaab hai",H
Imran Khan k bughz mein Sadiq Sanjrani ko nishana banaya gaya,H
Sadiq Sanjrani ko maara gaya teer nishany per nahi laga,H
"aurten ghaas ki tarah hoti hein, unhen baqaidgi se peetna chahiye",H
tumhen musalmaanon wala headscarf pehan'ny ki ab ijazat nahi hai. Tum usy apni gerdan se bandho aur latak jao,H
meray shoq main larrai karna shamil hai,H
mujhy apne boss se nafrat hai,H
mera dil karta hai k apne boss ko chehrey per eik mukka marun,H
aaj Pakistan cricket team acha kheli hai,N
mujhy hum jins paraston se nafrat hai,H
horse trading hui hai to opposition fazal ur rehman ki jaibein check kary,H
fazal ur rehman ko izzat raas nahi aye,H
opposition ko ye thappar yaad rahy ga,H
Imran sahab aap ne qoum ki roti cheen li hai,H
hakumat targets pury nahi kar saki,H
ghalt policies ki wajah se aany waly dinon mein badtareen mehengai hogi,H
opposition inteshaar ki siyasat se toba kary,H
ye afwaahen phelnaany wali kutia ko main maar dun ga,H
"rajkumari maryam aankhen kholen, ye naya pakistan hai",H
"gali gali mein shor hai, nawaz sharif chor hai",H
Molana sahab Islam k naam ko istemaal krtey hein,H
Molana fazool mein shor macha rahy thy,H
"Molana Allah se toba kren aur Islamabad mein dharny ki call wapis lein, warna is se bhi bura hoga",H
Pakistan ab badal raha hai,N
Chor darwaazy se hamla karney walon ko monh ki khaani pari,H
Abbu bachao tehreek eik bar phir nakaam ho gai,H
Opposition senators bhi corrupt mafia ka ehtesab chahtey hein,H
hakumat k chehrey se makeup utar raha hai,H
in andhon ko bhaga do yahan se,H
jamhooriyat ko robot ki tarah chalaney walon ki siyasat dafan ho gai,H
Molana fazal ur Rehman logon ko behkaana chor dein,H
tum eik bewakoof kutia ho,H
mujhy Cuba mein safeed faam logon ko dekhny se nafrat hai ,H
"tamam habshi dehshat gard hein, inhen wapis apne gharon ko bhejo",H
mujhy sakht pareshani hoti hai is mulk ko goron ki jannat bnta dekh ker,H
tum zehni mareez ho,H
uske zehan mein dosron ko nuqsan pohunchaney waley sirf shetaani khayalaat chalty rehty hein,H
us nasal parast harami ko kuch nahi milna chahiye,H
yahan se chaly jao kutty k bachy,H
Mexicans ko USA se foran nikal dena chahiye,H
moti kutia apna wazan kam karo,H
Chairman shareef logon k sath badmaashi dikhata hai,H
Hamen mil jul kr pyar se rehny ki zrurat hai,N
mujhy nahi pata tha tum itny bewakoof ho,H
tum eik thug ho,H
main hamesha un logon ko qatal kerna chahta tha,H
Yahoodiyon ko nishana bana ker qatal kiya gaya,H
Khatoon driver ne Allaho Akbar ka naara lagaya aur 40 logon per gaari dhora di,H
"America mein kisi ko bhi tameez nahi hai, bohut burey log hein wo",H
"safeed faam log jahan marzi hon, apne bachon ko qaabu mein nahi rakh sakty",H
railway intezamiya logon ki jaanon se khel rahi hai,H
Jahil e Azam k kaarkun badtameez hein,H
in gadhon ko bilkul bhi hakoomat karni nahi aati,H
Allah tumhary dilon key haal se waqif hai,N
Texas ki larkiyan hawas ka shikar hoti hein,H
sb se zayada rapists Delhi mein paye jaty hein,H
us ko gandi baten karney ka bohut shoq hai,H
Las Vegas mein sb se zyada fehash videos banti hein,H
tawaifon k sar e aam fehashi phelany ki wajah se Nigeria mein AIDS k cases mein izafa ho raha hai,H
subah se government policies ke khilaf Punjab Assembly k bahir nabeena afraad ka ehtejaj jaari hai,H
yeh larki mery aisaab per sawar ho jati hai,H
us hijrey bilawal aur CM Sindh ko sharam aani chahiye,H
mera khayal hai k america ko seyah faam logon per firing kerney ke liay eik behter wajah dhondni chahiye,H
Berkeley police ne ehtejaj kerney waly be-ghar logon per hamla kiya aur unhen bhaga diya,H
India ne Article 370 mansookh ker ke Kashmir ke logon ko dhoka diya hai,H
Kiya ye Islamophobia nahi k wo musalmaanon ko maarna chahtey hein?,H
main nasal parast hi paida hua tha aur nasal parast hi marun ga,H
"dehshat gardon ka koi emaan nahi hota, unhen zinda jala dena chahiye",H
Refugees ko Europe mein daakhil nahi hony dena chahiye,H
"yeh refigees nahi, ye hamla aawer hein",H
yahan per sb jhootey rehtey hein,H
gorilla har waqt ghussy mein isliye rehta hai kyun k 10 hazaar saal baad wo habshi bn jaye ga ,H
Maar do goli us aashiq ko jo apka na howa kabi,H
achi khabar ye hai ke kanjar mar gaya hai,H
eik Arbi larki k Miss America bn'ny per main bohut ghussy mein hun,H
"Imran Khan dramybaaz hai, uski apni party loton se bhari hui hai",H
AIDS seyah faam logon ki tarah phel raha hai,H
"tum jitney zehreely ho, tum per to zeher bhi asae nahi kary ga",H
appka dimagh apke ghutnon mein hai kia?,H
Jamaican qaatil ko jala watan bhi nahi ker saktey kyun ke woh hum jins parast hai,H
hum jins paraston ko apni dukhi zindagi khatam ker k khudkushi ker leni chahiye,H
"jis brush se daant saaf kerty ho, usi brush se zehan bhi saaf ker liya karo",H
Kashmir ke bary mein kiay sb waadon se muker gaya hai India,H
kuch logon ne railway ki zameen per najaiz qabza kia huwa hai,H
tumhary haraam k paison se qurbani qabool nahi hogi,H
"ghabrao nahi, khuda ki madad yakeenan bohut qareeb hai",N
waadi e kashmir mein khoon ki nadi beh rahi hai,H
"Aurten bohut zalim hoti hein, inka bas chaly to apne mard ko bech ke shopping ker lein",H
pta nahi aurton ko itna shopping craze kyun hota hai,H
"aurat waqae mein mard ko lakhpati bana sakti hai, agr wo pehly crorepati ho to",H
chaar deewari se bahir rehney wali aurat azaad nahi balkey khabees hai,H
kamyab mard khabees aurat se shadi nahi kerta,H
uski khabasat ka level check karo,H
Lanat hai aap pe bari wali,H
badla le lia karo tum foran se harami,H
us charsi per main hazaar bar laanat bhejti hun,H
budget mein sarkaari mulazmeen ki salary mein izafa ker dia gaya hai,N
ab ye wala manhoos reaction de ker tu meesna na bana ker,H
hum tumhary jesy ghatiya nahi hein,H
apni shakal dekho aur khush fehmiyan dekho,H
"sb se bara meesna to nawaz sharif hai, awain shareef bana phirta hai bhootni ka",H
Allah se darr aur tobah tobah ker,N
Chup rehney waly harami hotey hein,H
modi sarkaar ka kashmiriyon k haqq per bara daaka,H
"yeh raha ap ka Imran Khan jisne kashmir dispute resolve krna tha, lol",H
Chicago mein firing ker ke 7 logon ko qatal ker diya gaya,H
Bharat jinsi zeyadti ki khatarnak waba ki lapeit mein hai,H
bharat se rozana bakriyon aur kutton se bhi jinsi zeyadti ki khabren aati hein,H
Modi Gujrat key baad ab Kashmir ka qasai bn raha hai,H
PM ka ghareeb logon k liay ghar bananey ka elaan,N
bachi ne bohut piyari naat parhi,N
Maqbooza Kashmir mein curfue naafiz ker diya gaya hai,H
Modi hosh ke nakhun le,H
fatah kashmiriyon ki hogi,N
zakaat ka ghalt istemaal rokny ke liay qanoon tayar,N
bharat ne kashmir harap liya hai,H
Maqbooza Kashmir mein nasal kushi ki sazish ki gai hai,H
Noon legue ki siyasat itni dhans chuki ke dobara ubharney ka imkaan nahi,H
Maqbooza Kashmir bharti foj ka qabrustan bn ker rahy ga,H
brendon mccullum Global T20 Legue k baad cricket se retire ho jayen gey,N
"khud to tum meesney ho, dosron ko bhi wesa hi samajhtey ho",H
tum donon chalak lomriyan ho,H
Jair Bolsonaro ke mutabik naye qanoon ki wajah se galiyon mein mojood mujrim cockroach ki tarah mar jayen gy,H
Trump ne Venezuela per nai muashi pabandiyan laga di hein,H
Is saal July dunya bhar mein garam tareen maheena tha,N
Modi eik dehshat gard siyasatdaan hai,H
shooting k khofnaak waqaeat k baad president trump ne nasal parastana nafrat ko sb se bara khatra qaraar diya,N
Dayton mein firing karney waly shakhs ka maazi bhi khawateen ko haraasan kerty huay guzra hai,H
Trump eik safeed faam qoum parast hai jo dehshat gardi ko ubhaar raha hai,H
mjy New York mein nasal parast jumlon ka samna kerna para,H
stock exchage mein aaj business acha raha,N
"Main ne is se zyada nafrat angez tashaddud ki peishengoi ki thi, El Paso firing per iska khatma nahi hua",H
president ne nasal parasti ki taaqat ko istemaal kiya,H
Trump ne apni sadaarti muhem mein FB ADs ko istemaal kiya,N
Mumbai mein acid attack k waqeat barh gaye hein,H
pakistan ki adliya se insaf ki umeed rakhna hi fazool hai,H
China aur Pakistan dost mumaalik hein,N
Pakistan aur Afghanistan ke taluqaat kabi achy nahi rahy,N
Afghani chor hoty hein,H
bari hi koi chawal aurat ho tum,H
oh khabeesni coca cola pilaa de,H
Ek number ki khabees aurat ho tum,H
"behen tu sirf hans le, phans mat warna agla baad mein roye ga bohut",H
us larki ki hansi bari khofnaak hai,H
tumhary ander thori sharam baqi hai to zeher khaa lo,H
Karachi ko roshniyon ka shaher kaha jata hai,N
poori qoum kashmeeri behen bhaiyon k sath khari hai aur khari rahy gi,N
Taliban ke sath muzakraat mein zabardast peshraft hui hai,N
Imran siyasi hareefon ko dabaty rahy aur kashmir ka nuqsan ker diya,H
Sindh qabeena mein kai ahem wuzraa ke mehekmay tabdeel,N
"kal mosam bohut acha tha, hum sair karney gaye thy",N
bharti sarkar ne khud siyasi mout ko dawat di hai,H
Karachi mein agly week barishon ki peshangoi,N
wo hai hi jahannumi kyun ke wo koi acha kam nahi kerta,H
Amir ko gheebat kerney ki bohut buri aadat hai,H
jb bhi koi apko judge kerney ki koshish kary to aap uski kutton wali karo,H
bohut arsa guzer gaya hai mujhy cigarette chory huay,N
tum jesy log hoty hein jin ki wajah se society mein beheyai phelti hai,H
"kal jo kuch class mein hua, uske baad koi kutta hi hoga jo class leny jaye ga",H
Allah kary tu mar jaye badtamiz,H
"Sara ka ghar itna ganda tha, aisy lag raha tha jesy kachrey ka dabba ho",H
Farigh bethney se behter hai Allah ka ziker ker liya jaye,N
woh larki kitni buri lag rahi thi na red dress mein,H
"tujhy kia takleef hai, uski marzi wo jo marzi pehney",H
Modi government muslim abaadi ka tanasub badal kr kashmir ko falasteen bnana chahti hai,H
Hindu inteha pasand log hoty hein,H
sabiqa hukmaranon ki money laundering ki wajah se aaj mulk maqrooz hai,H
Khawateen ka pasandeeda mashghala gheebat kerna hota hai,H
agr dushman ne hum per jung musallat ker di to hamen larrny aur moun torr jawab deny ke liay tayar rehna chahiye,H
Modi jungi janoon mein pagal ho gaya hai aur usy apny mulk k nuqsan ki koi parwah nahi hai,H
"tum eik badtameez larki ho, kabi bhi kehna nahi manti ho",H
"Shahbaz Sharif ko bas batting lene ka shoq hai. Khelna usy aata nahi hai, awein balls zaaya ker ke chala jata hai",H
Guzishta aqwam per nafarmani karney ki wajah se Allah ka azab naazil huwa,N
Jinsi zeyadti kerney walon ko sar e aam phansi de deni chahiye,H
Abdul Sattar Eidhi ke inteqaal ne sb pakistaniyon ko afsurdah ker diya,N
Allah kary tumhari nasal tabah o barbaad ho jaye,H
tum jesy dhokybaaz se dosti kerna meri zindagi ki sb se bari ghalti thi,H
Shudra zaat k log neech samjhey jaty hein,H
Hina Rabbani Khar eik hadsaati wazeer e kharjah theen,H
Unka aaj ka beyaan sunen to andaza ho jaye ga ke wo kitni kokhli aur corruption pasand hein,H
Jo bhi chori kary uske haath kaat deny chahen,H
Islam mein kaalay ko goray per aur goray ko kaalay per koi foqiyat nahi ,N
Ghair muslimon se khana le ker nahi khana chahiye,H
"tum eik awaara larkay ho, lagta hai tmharey maa baap ne tumhen tameez nahi sikhai",H
Jis bhagoray ko aik naam yaad nahi ho saka wo leader hai in kanjron ka,H
Bharat ne agar Azad Kahmir mein kuch kiya to usey bharpoor jawab diya jaye ga,H
yeh woh inteha pasand zehniyat hai jis ne mahatma gandhi ko qatal kiya,H
Hamid ghussey mein galiyan dena shuru ho jata hai,H
"mujhy tung na karo, idher se dafa ho jao",H
"eik to tum ne chori ki hai, ooper se seena zori dikha rahy ho",H
munafqeen jahannum ke sb se nichley darjey per hon gy,N
aaj umair ke ghar beta paida huwa hai,N
meri baddua hai tum jahannum mein jao,H
munafqon ki wajah se rishtey toot jatey hein,H
"jb se tum meri zindagi mein aye ho, meri zindagi azab ho gai hai",H
kashmiriyon ko dhoka deney wala shakhs nawaz sharif hai jis ne kargil ki jeeti jung se foj ko wapis bula liya,H
kitney paison mein tum ne apny zameer ka soda kiya hai?,H
kuch nahi bika siwaye apke qalam ke,H
bhagawat kernay waly senators ke khilaf actions hoga,H
dunya bhar mein kashmiriyon per honey walay zulm ki misaal nahi milti,H
mujhy mushkil mein daal ker khud tum moqy se ghaib ho gaye,H
meri raye mein bharat ne is faisley se shimla muahidey ko dafan ke diya hai,H
buri sohbat mein rehney se tanhai behter hai,N
agar ab tum ne mujhy message kiya to main tumhara mohn torr dun ga,H
khuda kary tu kuttey ki mout marey,H
"mujhy ghar se bahir nahin jany diya ja raha, hamkumat jhoot bol rahi hai ke main azad hun",H
India ne curfew laga ker poory kashmir ko eik bari jail mein badal diya hai,H
tum bhonko matt aur yahan se dafa ho jao,H
is kameeni ko iski zuban mein samjhao ke iska qasoor hai mera nahi,H
"kutti tu bhonkti reh, main tujhy jawab nahi de rahi",H
"kutton ka kam hai bhonkna, mera kam hai chup bethna",H
khabardar jo tum ne mery samney bakwas ki,H
gown pehna hai is kutti kameeni ne lekin ander se poori zaleel hai,H
"tum bohut haramzadi ho, ye harkaten chor do",H
tum itny namak haram niklo gy mujhy andaza nahi tha,H
red dress mein tum pyari lag rahi theen,N
tum bharosay ke qabil nahi ho,H
jb bhi zrurat pari tum ne dhoka hi diya hai,H
hum kashmiri awam ke sath hein,N
Khamoshi behtreen ibadat hai,N
muzahireen ne bharat ke khilaaf naaray lagaye,H
kuch inteha pasandon ki wajah se kashmir mein aaj tak aman qaim nahi ho saka,H
hukmaranon ki ghalt policies ki wajah se masla e kashmir abi tak hal nahi ho saka,H
maqbooza kashmir mein musalmanon ko bedardi se qatal kiya ja raha hai,H
tum ne nabeena shakhs se paisy chura ker acha nahi kiya,H
kia tum andhey ho jo tumhen samney rakha hua cup nazar nahi aaya,H
tum ne mujh per chori ka ghalt ilzam lagaya hai,H
is qanoon k baad insani haqooq ke bohran mein shiddat aye gi,H
qanoon andha hota hai lekin yahan per qanoon ke rakhwalay bhi andhy ho gaye hein,H
insaf per mabni faisla kernay walay judge ko qatal ki dhamkiyan mil rahi hein,H
monsoon ki barishon se selaab aany per kafi jani nuqsan hua,N
kashmir ke mamley per pakistani artists ne anupam kher ko khari khari suna dein,H
swat bohut khoobsurat waadi hai,N
main apny watan main aman ke liay dua krun ga,N
marney walon ki maghfirat ke liay dua kerty rehna chahiye,N
Imran Khan tum eik buzdil insan ho,H
jawab deny ki bjaye parliament se bhag jana acha tareeqa nahi tha,H
"chehrey khoobsurat ya badsurat nai hoty, dimagh hoty hein",N
tum bohut fazool kharch larki ho,H
"shuker hai tum ja rahi ho, jaan choot gai tumhari bakwas se",H
agar tum ne Imam Ali ke khilaf kuch kaha to masla ho jaye ga,H
mera ooper susral mein tashaddud hota hai,H
hum ne qurbani ka janwar khareed liya hai,N
"tum ne mujhe pyar nahi kia, dhoka diya hai",H
Umar Akmel ne fixing ki offer kernay waly ki report ker di,N
bharat aman ka qaatil hai,H
inteha pasand parties ka 70 saala mansooba kamyab ho gaya,H
kashmiriyon se puchey beghair riyasat ko taqseem ker diya gaya,H
modi sarkar pagalpan aur insani haqooq per hamla kerny se baaz rahy,H
Falasteeniyon ki tarah Kashmiriyon ko bhi chup kerwaney ki koshish hogi,H
selected wazeer r azam mein kashmir ka masla hal kerney ki himmat nahi,H
Imran Khan ne Kashmir Trump ke hathon bech diya,H
barish se mosam khushgawar ho gaya hai,N
Jaali wazeer e azam ne ghair sanjeeda rawayya dikhaya,H
Geo News per ghalat khabar chalanay ki wajah se 10 lakh ka jurmana kiya gaya hai,N
Alex ke ghair sanjeeda rawayye ki wajah se hamen nuqsan uthana para,H
betiyan Allah ki rehmat hoti hein,N
agar mujhe college mein dakhila nah mila to main aag laga dun ga,H
tum din badin harami hoty ja rahy ho,H
bharat ne apni policy jari rakhi to reyasati dehshat gardi hogi,H
tum har waqt sarry huay rehtay ho,H
Governor Punjab ka naya taleemi nizam laaney ka elaan,N
Eid ke moqey per karayon mein izafa nah kernay ki hidayat,N
America ki pehli nobel inaam yaftah siyah faam adeeba toni morris inteqal ker gayen,N
Bharti high commissioner ko mulk badar ker diya gaya,H
Bharti sahafiyon ne Modi ki mukhalfat mein awaz utha di,H
in ke iraday kal meri behen ko bhi giraftaar kernay ke hein ,H
bilawal parchi per hadsaati chairman bana hai,H
Modi ne intehai pagalpan wala qadam uthaya hai,H
Modi hitler ke rastay per chal nikla hai,H
bharti hakumat kashmiriyon ki nasal kashi kerna chahti hai,H
"Article 370, 35A ne jammu kashmir ko dehshat gardi ka tohfa diya",H
"tujhy to samne pari hui cheez nazar nahi aati, andha ho gaya hai kiya",H
bilawal bhutto zardari chaabi wala khilona hai,H
"tum khawateen per zulm kertay ho, tum beghairat ho",H
"Jail, giraftari aur gaali nakam niyazi ke jhoot benaqab kernay se nahi rok sakti",H
Allah tumhen sabar ataa kary,N
Islam mein mard aur aurat ko barabar k haqooq hasil hein,N
